id,ltl,sentence
1329,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Grab the spray and put it in location B. Then, proceed to room A and room B."
1330,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Grab the spray and put it in location B. Then, proceed to room A and room B."
1331,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1332,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1333,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1334,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1335,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1336,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1337,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1338,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1339,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1340,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Collect the spray and relocate it to site B. Afterward, navigate to room A and then room B."
1341,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1342,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1343,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1344,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1345,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1346,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1347,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1348,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1349,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1350,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Get hold of the spray and keep it in place B. Later, move to room A before heading to room B."
1351,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1352,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1353,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1354,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1355,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1356,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1357,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1358,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1359,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1360,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Reach for the spray and transfer it to site B. Subsequently, advance to room A and next to room B."
1361,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1362,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1363,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1364,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1365,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1366,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1367,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1368,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1369,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1370,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Seize the spray and deposit it in location B. Following that, traverse to room A and ultimately to room B."
1371,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1372,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1373,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1374,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1375,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1376,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1377,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1378,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1379,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1380,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Take the spray and set it in area B. Once done, commute to room A and subsequently to room B."
1381,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1382,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1383,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1384,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1385,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1386,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1387,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1388,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1389,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1390,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Catch the spray and place it into site B. Afterwards, proceed towards room A and finally go towards room B."
1391,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1392,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1393,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1394,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1395,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1396,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1397,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1398,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1399,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1400,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Snatch the spray and situate it at location B. Then, transition to room A and later to room B."
1401,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1402,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1403,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1404,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1405,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1406,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1407,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1408,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1409,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1410,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Secure the spray and transport it to zone B. Then, journey to room A and afterward to room B."
1411,finally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1412,finally(globally(SprayPickedUp) imply globally(SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1413,finally((SprayPickedUp imply SprayPlacedInSiteB) imply globally(InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1414,finally(globally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1415,finally(globally((SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB))),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1416,finally(((SprayPickedUp imply SprayPlacedInSiteB) imply InRoomA) imply InRoomB),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1417,finally((SprayPickedUp imply (SprayPlacedInSiteB imply InRoomA)) imply InRoomB),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1418,finally((SprayPickedUp imply SprayPlacedInSiteB) imply finally(InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1419,finally(finally(SprayPickedUp imply SprayPlacedInSiteB) imply (InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1420,finally((SprayPickedUp imply finally(SprayPlacedInSiteB)) imply (InRoomA imply InRoomB)),"Acquire the spray and station it at site B. Then, travel to room A and at last to room B."
1421,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1422,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1423,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1424,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1425,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1426,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1427,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1428,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1429,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1430,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Grab the spray and head to room A. Then, put it down at site B and move to room B."
1431,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1432,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1433,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1434,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1435,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1436,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1437,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1438,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1439,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1440,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Take the spray and proceed to room A. Afterwards, set it down at site B before heading to room B."
1441,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1442,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1443,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1444,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1445,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1446,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1447,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1448,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1449,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1450,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Get the spray and make your way to room A. From there, deposit it at site B and then navigate to room B."
1451,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1452,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1453,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1454,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1455,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1456,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1457,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1458,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1459,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1460,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Fetch the spray and travel towards room A. Subsequently, rest it at site B and then make your move to room B."
1461,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1462,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1463,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1464,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1465,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1466,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1467,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1468,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1469,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1470,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Take hold of the spray and go towards room A. After that, drop it off at site B and then move towards room B."
1471,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1472,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1473,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1474,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1475,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1476,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1477,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1478,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1479,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1480,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Seize the spray and set course for room A. Next, place it down at site B before proceeding to room B."
1481,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1482,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1483,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1484,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1485,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1486,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1487,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1488,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1489,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1490,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Lift the spray and start moving to room A. Then, put it at site B and travel to room B afterwards."
1491,finally(SprayPickedUp imply (InRoomA imply (SprayPlacedInSiteB imply InRoomB))),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1492,finally((SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB imply InRoomB)))),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1493,finally((SprayPickedUp imply InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1494,finally(SprayPickedUp imply ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1495,finally(SprayPickedUp imply (InRoomA imply SprayPlacedInSiteB) imply InRoomB),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1496,finally(SprayPickedUp and (InRoomA imply (SprayPlacedInSiteB and InRoomB))),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1497,finally(SprayPickedUp and ((InRoomA imply SprayPlacedInSiteB) imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1498,finally((SprayPickedUp and InRoomA) imply (SprayPlacedInSiteB imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1499,finally((SprayPickedUp imply InRoomA) and (SprayPlacedInSiteB imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
1500,finally(SprayPickedUp imply ((InRoomA and SprayPlacedInSiteB) imply InRoomB)),"Acquire the spray and journey to room A. Then, leave it at site B and afterwards, head to room B."
